2012,2013,2014
林卓人(仙台),榎本哲也(横浜FM),西川周作(浦和)
楢崎正剛(名古屋),キム・ジンヒョン(C大阪),東口順昭(G大阪)
西川周作(広島),西川 周作(広島)_,林彰洋(鳥栖)
上本大海(仙台),那須大亮(浦和),西大伍(鹿島)
駒野友一(磐田),槙野智章(浦和),昌子源(鹿島)
角田誠(仙台),森重真人(FC東京),那須大亮(浦和)
田中マルクス闘莉王(名古屋),太田宏介(FC東京),槙野智章(浦和)
鎌田次郎(仙台),栗原勇蔵(横浜FM),太田宏介(F東京)
千葉和彦(広島),ドゥトラ(横浜FM),森重真人(F東京)
槙野智章(浦和),小林祐三(横浜FM),今野泰幸(G大阪)
水本裕貴(広島),中澤佑二(横浜FM),米倉恒貴(G大阪)
栗原勇蔵(横浜FM),富澤清太郎(横浜FM),塩谷司(広島)
森脇良太(広島),山下達也(C大阪,水本裕貴(広島)
中澤佑二(横浜FM),水本裕貴(広島),安田理大(鳥栖)
菅井直樹(仙台),塩谷司(広島),遠藤康(鹿島)
山田大記(磐田),阿部勇樹(浦和),柴崎岳(鹿島)
梁勇基(仙台),中村憲剛(川崎F),阿部勇樹(浦和)
遠藤保仁(G大阪),中町公祐(横浜FM),柏木陽介(浦和)
阿部勇樹(浦和),中村俊輔(横浜FM),武藤嘉紀(F東京)
柿谷曜一朗(C大阪),レオ・シルバ(新潟),大島僚太(川崎F)
レアンドロ・ドミンゲス(柏),山口螢(C大阪),中村憲剛(川崎F)
青山敏弘(広島),柿谷曜一朗(C大阪),レオ・シルバ(新潟)
中村憲剛(川崎F),青山敏弘(広島),阿部浩之(G大阪)
高萩洋次郎(広島),高萩洋次郎(広島),遠藤保仁(G大阪)
中村俊輔(横浜FM),ミキッチ(広島),森岡亮太(神戸)
森崎和幸(広島),大迫勇也(鹿島),興梠慎三(浦和)
赤嶺真吾(仙台),レナト(川崎F),大久保嘉人(川崎F)
前田遼一(磐田),大久保嘉人(川崎F),小林悠(川崎F)
ウイルソン(仙台),齋藤学(横浜FM),レナト(川崎F)
佐藤寿人(広島),マルキーニョス(横浜FM),宇佐美貴史(G大阪)
大前元紀(清水),川又 堅碁(新潟),パトリック(G大阪)
豊田陽平(鳥栖),佐藤 寿人(広島),豊田陽平(鳥栖)
